loom	backR	backG	backB	loomR	loomG	loomB	prepause	randprepause	loomtime	loomradius	postpause	refresh
1	158	158	158	227	227	227	40	20	3	0.4	2	60
2	158	158	158	215	215	215	40	20	3	0.4	2	60
3	158	158	158	199	199	199	40	20	3	0.4	2	60
4	158	158	158	184	184	184	40	20	3	0.4	2	60
5	158	158	158	167	167	167	40	20	3	0.4	2	60
6	158	158	158	158	158	158	40	20	3	0.4	2	60
7	158	158	158	149	149	149	40	20	3	0.4	2	60
8	158	158	158	129	129	129	40	20	3	0.4	2	60
9	158	158	158	108	108	108	40	20	3	0.4	2	60
10	158	158	158	84	84	84	40	20	3	0.4	2	60
11	158	158	158	35	35	35	40	20	3	0.4	2	60
