loom	backR	backG	backB	loomR	loomG	loomB	prepause	randprepause	loomtime	loomradius	postpause	refresh
1	158	158	158	172	172	172	40	20	3	0.4	2	60
2	158	158	158	170	170	170	40	20	3	0.4	2	60
3	158	158	158	168	168	168	40	20	3	0.4	2	60
4	158	158	158	162	162	162	40	20	3	0.4	2	60
5	158	158	158	160	160	160	40	20	3	0.4	2	60
6	158	158	158	158	158	158	40	20	3	0.4	2	60
7	158	158	158	156	156	156	40	20	3	0.4	2	60
8	158	158	158	154	154	154	40	20	3	0.4	2	60
9	158	158	158	152	152	152	40	20	3	0.4	2	60
10	158	158	158	150	150	150	40	20	3	0.4	2	60
11	158	158	158	148	148	148	40	20	3	0.4	2	60
