
 --ALL-- 
uint	DoP	DoLP	AoP	ellipticity	intensity	opponentsignal
  0	0.9800	0.9799	1.668	0.0121	3664619.005919	2.1995	
  4	0.9797	0.9796	1.696	0.0125	3666166.315127	2.1977	
  8	0.9789	0.9788	1.710	0.0118	3665403.522761	2.1940	
 12	0.9779	0.9778	1.657	0.0106	3663764.865922	2.1900	
 16	0.9770	0.9769	1.657	0.0119	3662624.711797	2.1860	
 20	0.9743	0.9742	1.664	0.0126	3666876.562780	2.1736	
 24	0.9716	0.9715	1.679	0.0150	3666329.715459	2.1617	
 28	0.9669	0.9668	1.677	0.0133	3665521.221916	2.1409	
 32	0.9611	0.9610	1.670	0.0149	3665814.933743	2.1161	
 36	0.9559	0.9559	1.707	0.0129	3665575.544465	2.0942	
 40	0.9517	0.9516	1.704	0.0134	3666143.254066	2.0765	
 44	0.9452	0.9451	1.646	0.0144	3667945.473547	2.0503	
 48	0.9396	0.9394	1.677	0.0158	3667291.778511	2.0275	
 52	0.9316	0.9315	1.647	0.0136	3667038.158044	1.9966	
 56	0.9250	0.9249	1.650	0.0132	3664350.709040	1.9712	
 60	0.9183	0.9182	1.630	0.0151	3667780.400883	1.9461	
 64	0.9075	0.9074	1.644	0.0142	3666403.345570	1.9062	
 68	0.8977	0.8976	1.619	0.0151	3669117.677044	1.8712	
 72	0.8861	0.8859	1.587	0.0158	3669707.554320	1.8309	
 76	0.8725	0.8723	1.602	0.0161	3665402.197277	1.7850	
 80	0.8587	0.8586	1.573	0.0158	3668308.634137	1.7401	
 84	0.8471	0.8469	1.584	0.0163	3665879.153268	1.7031	
 88	0.8324	0.8322	1.564	0.0176	3669143.292150	1.6578	
 92	0.8181	0.8180	1.559	0.0174	3671104.812866	1.6152	
 96	0.8007	0.8005	1.555	0.0179	3672467.198557	1.5646	
100	0.7848	0.7846	1.569	0.0183	3671549.580993	1.5196	
104	0.7698	0.7696	1.540	0.0189	3676564.313050	1.4787	
108	0.7519	0.7517	1.508	0.0186	3671775.360280	1.4311	
112	0.7319	0.7317	1.489	0.0181	3673448.217756	1.3797	
116	0.7163	0.7161	1.443	0.0179	3672013.600868	1.3406	
120	0.6981	0.6979	1.455	0.0188	3672330.644470	1.2958	
124	0.6780	0.6777	1.357	0.0191	3678568.367297	1.2479	
128	0.6569	0.6566	1.340	0.0200	3674421.608292	1.1987	
132	0.6351	0.6348	1.278	0.0199	3676788.236716	1.1495	
136	0.6131	0.6127	1.314	0.0218	3680372.919702	1.1007	
140	0.5882	0.5879	1.272	0.0201	3678677.755310	1.0473	
144	0.5612	0.5608	1.188	0.0195	3679362.516269	0.9908	
148	0.5351	0.5346	1.042	0.0209	3680441.997775	0.9374	
152	0.5119	0.5114	1.105	0.0228	3681451.229843	0.8908	
156	0.4821	0.4816	0.963	0.0227	3683235.630257	0.8326	
160	0.4572	0.4567	0.829	0.0212	3682551.258137	0.7850	
164	0.4285	0.4279	0.833	0.0217	3685151.194338	0.7308	
168	0.3993	0.3988	0.813	0.0214	3686773.374885	0.6770	
172	0.3695	0.3688	0.543	0.0225	3686234.481412	0.6228	
176	0.3381	0.3373	0.486	0.0227	3690231.681770	0.5665	
180	0.3046	0.3039	0.198	0.0209	3689748.153567	0.5079	
184	0.2729	0.2720	0.005	0.0215	3692281.799197	0.4527	
188	0.2412	0.2403	179.678	0.0215	3690889.781929	0.3983	
192	0.2079	0.2068	179.451	0.0213	3694713.728718	0.3417	
196	0.1713	0.1700	178.814	0.0209	3694492.858446	0.2798	
200	0.1384	0.1367	177.799	0.0221	3698631.529900	0.2239	
204	0.1043	0.1020	176.359	0.0218	3697824.175975	0.1660	
208	0.0693	0.0660	173.505	0.0211	3695936.685512	0.1053	
212	0.0377	0.0318	161.287	0.0203	3699126.039574	0.0413	
216	0.0294	0.0217	124.044	0.0198	3703590.391787	-0.0132	
220	0.0541	0.0508	104.576	0.0184	3701692.688115	-0.0727	
224	0.0886	0.0866	98.929	0.0188	3703231.048587	-0.1351	
228	0.1243	0.1231	97.110	0.0179	3707090.316216	-0.1958	
232	0.1663	0.1655	96.009	0.0163	3701603.284516	-0.2664	
236	0.2095	0.2089	94.770	0.0160	3704543.639128	-0.3404	
240	0.2601	0.2597	94.306	0.0149	3712533.997723	-0.4265	
244	0.2985	0.2981	93.941	0.0148	3705070.644322	-0.4930	
248	0.3075	0.3073	93.929	0.0120	3707689.845233	-0.5088	
