Contrast,Scored_response,Order,Crab_ID,Binary_response
-0.378797501,0,28,6,0
-0.378797501,0,19,7,0
-0.378797501,0,8,8,0
-0.378797501,0,16,9,0
-0.378797501,NaN,30,10,NA
-0.378797501,2,20,11,1
-0.378797501,0,31,12,0
-0.378797501,0,25,13,0
-0.378797501,2,23,14,1
-0.378797501,2,7,15,1
-0.378797501,0,19,16,0
-0.378797501,0,19,17,0
-0.378797501,2,3,18,1
-0.378797501,0,26,19,0
-0.378797501,0,22,20,0
-0.378797501,0,25,21,0
-0.378797501,3,20,22,1
-0.378797501,2,2,23,1
-0.378797501,2,7,24,1
-0.378797501,0,6,25,0
-0.378797501,2,19,26,1
-0.378797501,0,23,27,0
-0.378797501,0,15,28,0
-0.378797501,0,13,29,0
-0.378797501,0,23,30,0
-0.360702803,2,14,6,1
-0.360702803,0,5,7,0
-0.360702803,0,16,8,0
-0.360702803,3,20,9,1
-0.360702803,NaN,23,10,NA
-0.360702803,2,13,11,1
-0.360702803,0,17,12,0
-0.360702803,2,9,13,1
-0.360702803,0,17,14,0
-0.360702803,2,18,15,1
-0.360702803,0,17,16,0
-0.360702803,0,21,17,0
-0.360702803,0,31,18,0
-0.360702803,0,10,19,0
-0.360702803,2,6,20,1
-0.360702803,0,29,21,0
-0.360702803,2,31,22,1
-0.360702803,2,4,23,1
-0.360702803,2,28,24,1
-0.360702803,0,27,25,0
-0.360702803,2,3,26,1
-0.360702803,0,21,27,0
-0.360702803,0,31,28,0
-0.360702803,0,27,29,0
-0.360702803,0,20,30,0
-0.342863372,2,11,6,1
-0.342863372,0,20,7,0
-0.342863372,0,22,8,0
-0.342863372,3,14,9,1
-0.342863372,2,1,10,1
-0.342863372,0,31,11,0
-0.342863372,2,29,12,1
-0.342863372,0,3,13,0
-0.342863372,2,3,14,1
-0.342863372,0,10,15,0
-0.342863372,0,8,16,0
-0.342863372,2,5,17,1
-0.342863372,0,18,18,0
-0.342863372,0,31,19,0
-0.342863372,2,7,20,1
-0.342863372,0,20,21,0
-0.342863372,0,25,22,0
-0.342863372,0,27,23,0
-0.342863372,2,1,24,1
-0.342863372,0,11,25,0
-0.342863372,0,24,26,0
-0.342863372,2,6,27,1
-0.342863372,0,24,28,0
-0.342863372,0,18,29,0
-0.342863372,0,29,30,0
-0.325023942,2,13,6,1
-0.325023942,0,22,7,0
-0.325023942,0,5,8,0
-0.325023942,3,26,9,1
-0.325023942,0,16,10,0
-0.325023942,2,9,11,1
-0.325023942,0,18,12,0
-0.325023942,0,17,13,0
-0.325023942,2,16,14,1
-0.325023942,2,5,15,1
-0.325023942,2,10,16,1
-0.325023942,0,22,17,0
-0.325023942,2,14,18,1
-0.325023942,0,23,19,0
-0.325023942,2,19,20,1
-0.325023942,0,13,21,0
-0.325023942,NaN,28,22,NA
-0.325023942,0,20,23,0
-0.325023942,3,14,24,1
-0.325023942,0,25,25,0
-0.325023942,0,7,26,0
-0.325023942,0,10,27,0
-0.325023942,0,20,28,0
-0.325023942,3,10,29,1
-0.325023942,0,25,30,0
-0.307962589,3,20,6,1
-0.307962589,2,1,7,1
-0.307962589,0,4,8,0
-0.307962589,0,3,9,0
-0.307962589,0,9,10,0
-0.307962589,0,19,11,0
-0.307962589,0,16,12,0
-0.307962589,0,28,13,0
-0.307962589,0,24,14,0
-0.307962589,0,17,15,0
-0.307962589,0,18,16,0
-0.307962589,3,26,17,1
-0.307962589,0,27,18,0
-0.307962589,0,27,19,0
-0.307962589,2,3,20,1
-0.307962589,0,9,21,0
-0.307962589,0,13,22,0
