Contrast,Scored_response,Order,Crab_ID,Binary_response
-0.185395794,2,9,3,1
-0.185395794,2,16,4,1
-0.185395794,2,10,5,1
-0.185395794,2,11,6,1
-0.185395794,2,8,7,1
-0.185395794,2,6,8,1
-0.185395794,2,15,9,1
-0.185395794,2,16,10,1
-0.185395794,2,17,11,1
-0.185395794,2,15,12,1
-0.185395794,2,13,13,1
-0.185395794,2,8,14,1
-0.185395794,2,9,15,1
-0.185395794,2,6,16,1
-0.185395794,2,13,17,1
-0.185395794,2,15,18,1
-0.185395794,2,17,19,1
-0.185395794,2,16,20,1
-0.155721679,2,4,3,1
-0.155721679,2,10,4,1
-0.155721679,2,13,5,1
-0.155721679,2,3,6,1
-0.155721679,2,1,7,1
-0.155721679,2,5,8,1
-0.155721679,2,10,9,1
-0.155721679,2,15,10,1
-0.155721679,2,12,11,1
-0.155721679,2,10,12,1
-0.155721679,2,6,13,1
-0.155721679,2,14,14,1
-0.155721679,0,17,15,0
-0.155721679,2,5,16,1
-0.155721679,2,9,17,1
-0.155721679,2,14,18,1
-0.155721679,2,5,19,1
-0.155721679,2,11,20,1
-0.12555269,2,1,3,1
-0.12555269,2,14,4,1
-0.12555269,2,17,5,1
-0.12555269,2,13,6,1
-0.12555269,2,3,7,1
-0.12555269,2,13,8,1
-0.12555269,2,17,9,1
-0.12555269,2,12,10,1
-0.12555269,2,15,11,1
-0.12555269,2,6,12,1
-0.12555269,2,5,13,1
-0.12555269,2,12,14,1
-0.12555269,2,15,15,1
-0.12555269,2,9,16,1
-0.12555269,2,11,17,1
-0.12555269,2,8,18,1
-0.12555269,2,14,19,1
-0.12555269,2,17,20,1
-0.094892429,0,16,3,0
-0.094892429,2,8,4,1
-0.094892429,2,7,5,1
-0.094892429,2,9,6,1
-0.094892429,2,7,7,1
-0.094892429,2,10,8,1
-0.094892429,0,7,9,0
-0.094892429,2,3,10,1
-0.094892429,2,7,11,1
-0.094892429,2,11,12,1
-0.094892429,0,14,13,0
-0.094892429,2,15,14,1
-0.094892429,2,12,15,1
-0.094892429,2,7,16,1
-0.094892429,2,10,17,1
-0.094892429,2,6,18,1
-0.094892429,0,16,19,0
-0.094892429,2,7,20,1
-0.063744494,0,15,3,0
-0.063744494,0,11,4,0
-0.063744494,3,8,5,1
-0.063744494,2,4,6,1
-0.063744494,2,12,7,1
-0.063744494,NaN,15,8,NA
-0.063744494,0,12,9,0
-0.063744494,2,9,10,1
-0.063744494,2,10,11,1
-0.063744494,2,5,12,1
-0.063744494,0,15,13,0
-0.063744494,2,2,14,1
-0.063744494,2,5,15,1
-0.063744494,2,16,16,1
-0.063744494,2,17,17,1
-0.063744494,2,2,18,1
-0.063744494,2,11,19,1
-0.063744494,2,9,20,1
-0.047988774,3,14,3,1
-0.047988774,0,12,4,0
-0.047988774,3,11,5,1
-0.047988774,0,17,6,0
-0.047988774,2,10,7,1
-0.047988774,0,8,8,0
-0.047988774,0,2,9,0
-0.047988774,2,10,10,1
-0.047988774,0,16,11,0
-0.047988774,2,13,12,1
-0.047988774,0,10,13,0
-0.047988774,0,9,14,0
-0.047988774,0,7,15,0
-0.047988774,2,13,16,1
-0.047988774,2,1,17,1
-0.047988774,0,10,18,0
-0.047988774,0,4,19,0
-0.047988774,0,15,20,0
-0.032112485,0,12,3,0
-0.032112485,0,9,4,0
-0.032112485,0,1,5,0
-0.032112485,0,2,6,0
-0.032112485,0,17,7,0
-0.032112485,0,12,8,0
-0.032112485,0,16,9,0
-0.032112485,0,8,10,0
-0.032112485,0,8,11,0
-0.032112485,2,16,12,1
-0.032112485,0,9,13,0
-0.032112485,0,17,14,0
-0.032112485,0,1,15,0
-0.032112485,0,10,16,0
-0.032112485,3,15,17,1
-0.032112485,2,3,18,1
-0.032112485,0,2,19,0
-0.032112485,0,6,20,0
-0.016116077,0,2,3,0
-0.016116077,0,4,4,0
-0.016116077,0,4,5,0
-0.016116077,0,15,6,0
-0.016116077,0,14,7,0
-0.016116077,0,14,8,0
-0.016116077,0,8,9,0
-0.016116077,0,17,10,0
-0.016116077,0,3,11,0
-0.016116077,0,14,12,0
-0.016116077,0,4,13,0
-0.016116077,0,4,14,0
-0.016116077,0,2,15,0
-0.016116077,0,12,16,0
-0.016116077,0,3,17,0
-0.016116077,0,17,18,0
-0.016116077,3,3,19,1
-0.016116077,0,5,20,0
0,0,5,3,0
0,0,13,4,0
0,3,16,5,1
0,0,5,6,0
0,0,16,7,0
0,0,9,8,0
0,0,13,9,0
0,0,14,10,0
0,0,13,11,0
0,0,1,12,0
0,2,17,13,1
0,0,6,14,0
0,0,16,15,0
0,0,2,16,0
0,0,2,17,0
0,0,11,18,0
0,0,15,19,0
0,0,4,20,0
0.016235296,0,7,3,0
0.016235296,0,3,4,0
0.016235296,0,6,5,0
0.016235296,0,14,6,0
0.016235296,0,6,7,0
0.016235296,NaN,17,8,NA
0.016235296,0,1,9,0
0.016235296,0,2,10,0
0.016235296,0,6,11,0
0.016235296,0,7,12,0
0.016235296,0,12,13,0
0.016235296,0,13,14,0
0.016235296,0,11,15,0
0.016235296,0,1,16,0
0.016235296,0,4,17,0
0.016235296,0,1,18,0
0.016235296,0,12,19,0
0.016235296,0,2,20,0
0.032589361,0,10,3,0
0.032589361,0,5,4,0
0.032589361,0,14,5,0
0.032589361,0,16,6,0
0.032589361,0,2,7,0
0.032589361,0,11,8,0
0.032589361,0,9,9,0
0.032589361,0,1,10,0
0.032589361,0,4,11,0
0.032589361,0,4,12,0
0.032589361,0,2,13,0
0.032589361,0,11,14,0
0.032589361,0,4,15,0
0.032589361,0,15,16,0
0.032589361,0,8,17,0
0.032589361,0,9,18,0
0.032589361,0,10,19,0
0.032589361,0,1,20,0
0.049061745,3,13,3,1
0.049061745,0,17,4,0
0.049061745,0,5,5,0
0.049061745,0,7,6,0
0.049061745,0,5,7,0
0.049061745,NaN,16,8,NA
0.049061745,0,5,9,0
0.049061745,0,6,10,0
0.049061745,0,2,11,0
0.049061745,0,3,12,0
0.049061745,0,3,13,0
0.049061745,0,7,14,0
0.049061745,0,8,15,0
0.049061745,0,11,16,0
0.049061745,0,14,17,0
0.049061745,0,7,18,0
0.049061745,0,6,19,0
0.049061745,0,8,20,0
0.065651999,0,11,3,0
0.065651999,0,6,4,0
0.065651999,0,2,5,0
0.065651999,0,1,6,0
0.065651999,0,13,7,0
0.065651999,0,2,8,0
0.065651999,0,6,9,0
0.065651999,0,13,10,0
0.065651999,0,11,11,0
0.065651999,3,2,12,1
0.065651999,0,1,13,0
0.065651999,0,16,14,0
0.065651999,0,6,15,0
0.065651999,3,3,16,1
0.065651999,0,12,17,0
0.065651999,0,12,18,0
0.065651999,0,7,19,0
0.065651999,0,10,20,0
0.099184314,3,3,3,1
0.099184314,2,2,4,1
0.099184314,0,12,5,0
0.099184314,0,8,6,0
0.099184314,3,4,7,1
0.099184314,2,3,8,1
0.099184314,3,11,9,1
0.099184314,0,7,10,0
0.099184314,0,14,11,0
0.099184314,2,9,12,1
0.099184314,0,16,13,0
0.099184314,2,1,14,1
0.099184314,0,13,15,0
0.099184314,0,8,16,0
0.099184314,0,16,17,0
0.099184314,0,16,18,0
0.099184314,0,13,19,0
0.099184314,0,13,20,0
0.133182708,3,8,3,1
0.133182708,0,7,4,0
0.133182708,3,15,5,1
0.133182708,0,10,6,0
0.133182708,0,9,7,0
0.133182708,2,1,8,1
0.133182708,3,14,9,1
0.133182708,0,5,10,0
0.133182708,0,5,11,0
0.133182708,3,12,12,1
0.133182708,0,7,13,0
0.133182708,2,3,14,1
0.133182708,0,14,15,0
0.133182708,0,14,16,0
0.133182708,2,5,17,1
0.133182708,0,5,18,0
0.133182708,0,8,19,0
0.133182708,0,14,20,0
0.167643581,0,17,3,0
0.167643581,0,15,4,0
0.167643581,2,3,5,1
0.167643581,0,12,6,0
0.167643581,3,11,7,1
0.167643581,0,4,8,0
0.167643581,2,4,9,1
0.167643581,2,4,10,1
0.167643581,0,1,11,0
0.167643581,2,8,12,1
0.167643581,0,11,13,0
0.167643581,2,5,14,1
0.167643581,2,3,15,1
0.167643581,2,4,16,1
0.167643581,2,7,17,1
0.167643581,2,4,18,1
0.167643581,2,9,19,1
0.167643581,2,12,20,1
0.202563333,2,6,3,1
0.202563333,2,1,4,1
0.202563333,3,9,5,1
0.202563333,2,6,6,1
0.202563333,3,15,7,1
0.202563333,0,7,8,0
0.202563333,2,3,9,1
0.202563333,0,11,10,0
0.202563333,2,9,11,1
0.202563333,0,17,12,0
0.202563333,0,8,13,0
0.202563333,0,10,14,0
0.202563333,2,10,15,1
0.202563333,2,17,16,1
0.202563333,2,6,17,1
0.202563333,0,13,18,0
0.202563333,0,1,19,0
0.202563333,2,3,20,1
