Contrast,Scored_response,Order,Crab_ID,Binary_response
-0.456927534,3,2,3,1
-0.456927534,2,2,4,1
-0.456927534,2,5,6,1
-0.456927534,3,8,7,1
-0.456927534,2,5,8,1
-0.456927534,0,5,9,0
-0.456927534,0,3,10,0
-0.456927534,2,1,12,1
-0.456927534,2,4,13,1
-0.456927534,NaN,8,14,NA
-0.456927534,0,11,15,0
-0.456927534,3,5,16,1
-0.456927534,2,3,17,1
-0.409464621,2,4,3,1
-0.409464621,0,5,4,0
-0.409464621,2,7,6,1
-0.409464621,3,2,7,1
-0.409464621,0,1,8,0
-0.409464621,0,6,9,0
-0.409464621,0,8,10,0
-0.409464621,2,2,12,1
-0.409464621,2,10,13,1
-0.409464621,NaN,10,14,NA
-0.409464621,0,10,15,0
-0.409464621,3,4,16,1
-0.409464621,0,10,17,0
-0.316493266,0,9,3,0
-0.316493266,0,8,4,0
-0.316493266,2,8,6,1
-0.316493266,0,4,7,0
-0.316493266,3,9,8,1
-0.316493266,0,3,9,0
-0.316493266,0,10,10,0
-0.316493266,0,5,12,0
-0.316493266,2,11,13,1
-0.316493266,NaN,11,14,NA
-0.316493266,0,9,15,0
-0.316493266,0,3,16,0
-0.316493266,0,9,17,0
-0.191534365,0,7,3,0
-0.191534365,0,9,4,0
-0.191534365,0,1,6,0
-0.191534365,0,1,7,0
-0.191534365,3,10,8,1
-0.191534365,0,4,9,0
-0.191534365,0,6,10,0
-0.191534365,0,8,12,0
-0.191534365,3,1,13,1
-0.191534365,0,5,14,0
-0.191534365,3,1,15,1
-0.191534365,3,8,16,1
-0.191534365,NaN,8,17,NA
-0.059587943,0,1,3,0
-0.059587943,0,10,4,0
-0.059587943,0,9,6,0
-0.059587943,0,11,7,0
-0.059587943,0,7,8,0
-0.059587943,0,8,9,0
-0.059587943,0,7,10,0
-0.059587943,0,3,12,0
-0.059587943,0,6,13,0
-0.059587943,0,6,14,0
-0.059587943,0,8,15,0
-0.059587943,0,6,16,0
-0.059587943,0,4,17,0
0,0,8,3,0
0,0,11,4,0
0,0,2,6,0
0,0,10,7,0
0,0,2,8,0
0,0,11,9,0
0,0,11,10,0
0,0,11,12,0
0,0,8,13,0
0,0,4,14,0
0,0,2,15,0
0,0,7,16,0
0,0,11,17,0
0.057949265,0,11,3,0
0.057949265,0,3,4,0
0.057949265,0,11,6,0
0.057949265,0,9,7,0
0.057949265,0,6,8,0
0.057949265,0,1,9,0
0.057949265,0,4,10,0
0.057949265,0,7,12,0
0.057949265,2,9,13,1
0.057949265,NaN,3,14,NA
0.057949265,0,7,15,0
0.057949265,0,1,16,0
0.057949265,0,5,17,0
0.175530777,3,5,3,1
0.175530777,2,1,4,1
0.175530777,2,4,6,1
0.175530777,0,5,7,0
0.175530777,0,11,8,0
0.175530777,0,7,9,0
0.175530777,0,2,10,0
0.175530777,0,9,12,0
0.175530777,0,5,13,0
0.175530777,NaN,2,14,NA
0.175530777,0,6,15,0
0.175530777,3,11,16,1
0.175530777,2,2,17,1
0.27062998,2,6,3,1
0.27062998,0,7,4,0
0.27062998,2,6,6,1
0.27062998,2,7,7,1
0.27062998,0,8,8,0
0.27062998,0,9,9,0
0.27062998,0,1,10,0
0.27062998,3,10,12,1
0.27062998,2,3,13,1
0.27062998,2,1,14,1
0.27062998,3,3,15,1
0.27062998,0,2,16,0
0.27062998,2,1,17,1
0.359044523,0,10,3,0
0.359044523,2,4,4,1
0.359044523,2,3,6,1
0.359044523,2,6,7,1
0.359044523,2,4,8,1
0.359044523,0,10,9,0
0.359044523,3,9,10,1
0.359044523,NaN,6,12,NA
0.359044523,2,2,13,1
0.359044523,NaN,9,14,NA
0.359044523,0,5,15,0
0.359044523,2,9,16,1
0.359044523,2,7,17,1
0.465265173,2,3,3,1
0.465265173,2,6,4,1
0.465265173,2,10,6,1
0.465265173,2,3,7,1
0.465265173,2,3,8,1
0.465265173,0,2,9,0
0.465265173,0,5,10,0
0.465265173,2,4,12,1
0.465265173,2,7,13,1
0.465265173,NaN,7,14,NA
0.465265173,0,4,15,0
0.465265173,3,10,16,1
0.465265173,2,6,17,1
