Contrast,Scored_response,Order,Crab_ID,Binary_response
-0.122849469,2,3,4,1
-0.122849469,3,1,6,1
-0.122849469,2,9,8,1
-0.122849469,0,1,10,0
-0.122849469,2,4,12,1
-0.122849469,2,7,14,1
-0.122849469,3,2,16,1
-0.122849469,0,10,18,0
-0.122849469,2,11,20,1
-0.122849469,0,8,22,0
-0.09883452,2,8,4,1
-0.09883452,2,8,6,1
-0.09883452,2,8,8,1
-0.09883452,2,8,10,1
-0.09883452,2,6,12,1
-0.09883452,0,6,14,0
-0.09883452,NaN,5,16,NA
-0.09883452,0,11,18,0
-0.09883452,0,7,20,0
-0.09883452,0,9,22,0
-0.074539786,2,7,4,1
-0.074539786,0,11,6,0
-0.074539786,2,7,8,1
-0.074539786,0,6,10,0
-0.074539786,2,9,12,1
-0.074539786,3,1,14,1
-0.074539786,NaN,7,16,NA
-0.074539786,0,2,18,0
-0.074539786,0,8,20,0
-0.074539786,2,1,22,1
-0.04996758,0,1,4,0
-0.04996758,2,3,6,1
-0.04996758,0,11,8,0
-0.04996758,0,7,10,0
-0.04996758,2,5,12,1
-0.04996758,0,10,14,0
-0.04996758,0,1,16,0
-0.04996758,0,8,18,0
-0.04996758,0,5,20,0
-0.04996758,0,5,22,0
-0.025120214,0,9,4,0
-0.025120214,0,4,6,0
-0.025120214,0,3,8,0
-0.025120214,0,2,10,0
-0.025120214,0,10,12,0
-0.025120214,0,4,14,0
-0.025120214,0,9,16,0
-0.025120214,2,7,18,1
-0.025120214,0,4,20,0
-0.025120214,NaN,10,22,NA
0,0,2,4,0
0,2,2,6,1
0,0,10,8,0
0,0,5,10,0
0,0,3,12,0
0,0,2,14,0
0,0,10,16,0
0,0,3,18,0
0,0,1,20,0
0,0,3,22,0
0.025390749,0,11,4,0
0.025390749,0,7,6,0
0.025390749,0,5,8,0
0.025390749,0,4,10,0
0.025390749,0,2,12,0
0.025390749,0,3,14,0
0.025390749,0,8,16,0
0.025390749,2,6,18,1
0.025390749,0,3,20,0
0.025390749,0,7,22,0
0.051049721,0,5,4,0
0.051049721,0,10,6,0
0.051049721,0,4,8,0
0.051049721,0,10,10,0
0.051049721,NaN,7,12,NA
0.051049721,0,5,14,0
0.051049721,0,4,16,0
0.051049721,0,1,18,0
0.051049721,0,10,20,0
0.051049721,0,4,22,0
0.129612849,0,10,4,0
0.129612849,0,6,6,0
0.129612849,0,6,8,0
0.129612849,0,9,10,0
0.129612849,0,11,12,0
0.129612849,0,8,14,0
0.129612849,0,3,16,0
0.129612849,NaN,4,18,NA
0.129612849,0,2,20,0
0.129612849,0,6,22,0
0.156321588,0,4,4,0
0.156321588,0,9,6,0
0.156321588,0,1,8,0
0.156321588,0,11,10,0
0.156321588,0,8,12,0
0.156321588,0,11,14,0
0.156321588,0,6,16,0
0.156321588,0,9,18,0
0.156321588,0,9,20,0
0.156321588,0,2,22,0
0.183286988,0,6,4,0
0.183286988,0,5,6,0
0.183286988,2,2,8,1
0.183286988,0,3,10,0
0.183286988,0,1,12,0
0.183286988,0,9,14,0
0.183286988,0,11,16,0
0.183286988,0,5,18,0
0.183286988,0,6,20,0
0.183286988,0,11,22,0
