Batch,Crab,Crab_ID,Simulus,Scored_response,Order,Binary_response,Contrast
3,1,B3C1,2,0,1,0,0.2
3,2,B3C2,8,0,1,0,0.8
3,3,B3C3,7,0,1,0,0.7
3,8,B3C8,8,0,1,0,0.8
3,11,B3C11,1,0,1,0,0.1
3,12,B3C12,8,0,1,0,0.8
3,13,B3C13,7,2,1,1,0.7
3,14,B3C14,5,0,1,0,0.5
3,19,B3C19,1,0,1,0,0.1
3,21,B3C21,1,2,1,1,0.1
3,27,B3C27,6,0,1,0,0.6
3,31,B3C31,2,3,1,1,0.2
3,32,B3C32,3,0,1,0,0.3
3,33,B3C33,1,na,1,NA,0.1
3,35,B3C35,9,0,1,0,0.9
3,37,B3C37,4,0,1,0,0.4
3,39,B3C39,6,0,1,0,0.6
2,19,B2C19,3,2,1,1,0.3
2,21,B2C21,9,0,1,0,0.9
4,1,B4C1,9,0,1,0,0.9
4,4,B4C4,5,2,1,1,0.5
4,6,B4C6,6,0,1,0,0.6
4,8,B4C8,8,0,1,0,0.8
4,9,B4C9,5,3,1,1,0.5
4,10,B4C10,7,0,1,0,0.7
4,14,B4C14,1,2,1,1,0.1
4,21,B4C21,1,0,1,0,0.1
3,1,B3C1,7,0,2,0,0.7
3,2,B3C2,2,3,2,1,0.2
3,3,B3C3,1,3,2,1,0.1
3,8,B3C8,2,0,2,0,0.2
3,11,B3C11,7,0,2,0,0.7
3,12,B3C12,1,0,2,0,0.1
3,13,B3C13,5,0,2,0,0.5
3,14,B3C14,4,1,2,1,0.4
3,19,B3C19,9,0,2,0,0.9
3,21,B3C21,2,3,2,1,0.2
3,27,B3C27,8,0,2,0,0.8
3,31,B3C31,4,1,2,1,0.4
3,32,B3C32,9,1,2,1,0.9
3,33,B3C33,2,0,2,0,0.2
3,35,B3C35,1,0,2,0,0.1
3,37,B3C37,1,1,2,1,0.1
3,39,B3C39,2,3,2,1,0.2
2,19,B2C19,4,2,2,1,0.4
2,21,B2C21,1,2,2,1,0.1
4,1,B4C1,2,0,2,0,0.2
4,4,B4C4,1,3,2,1,0.1
4,6,B4C6,4,0,2,0,0.4
4,8,B4C8,5,0,2,0,0.5
4,9,B4C9,9,0,2,0,0.9
4,10,B4C10,3,0,2,0,0.3
4,14,B4C14,3,1,2,1,0.3
4,21,B4C21,3,0,2,0,0.3
3,1,B3C1,6,0,3,0,0.6
3,2,B3C2,4,0,3,0,0.4
3,3,B3C3,3,0,3,0,0.3
3,8,B3C8,3,3,3,1,0.3
3,11,B3C11,2,0,3,0,0.2
3,12,B3C12,3,0,3,0,0.3
3,13,B3C13,9,0,3,0,0.9
3,14,B3C14,9,2,3,1,0.9
3,19,B3C19,6,0,3,0,0.6
3,21,B3C21,7,0,3,0,0.7
3,27,B3C27,2,1,3,1,0.2
3,31,B3C31,9,1,3,1,0.9
3,32,B3C32,6,0,3,0,0.6
3,33,B3C33,6,3,3,1,0.6
3,35,B3C35,6,0,3,0,0.6
3,37,B3C37,5,2,3,1,0.5
3,39,B3C39,3,0,3,0,0.3
2,19,B2C19,1,2,3,1,0.1
2,21,B2C21,7,2,3,1,0.7
4,1,B4C1,6,0,3,0,0.6
4,4,B4C4,9,0,3,0,0.9
4,6,B4C6,7,2,3,1,0.7
4,8,B4C8,1,1,3,1,0.1
4,9,B4C9,3,0,3,0,0.3
4,10,B4C10,8,0,3,0,0.8
4,14,B4C14,8,0,3,0,0.8
4,21,B4C21,9,0,3,0,0.9
3,1,B3C1,4,0,4,0,0.4
3,2,B3C2,6,0,4,0,0.6
3,3,B3C3,4,0,4,0,0.4
3,8,B3C8,6,0,4,0,0.6
3,11,B3C11,5,0,4,0,0.5
3,12,B3C12,7,0,4,0,0.7
3,13,B3C13,1,2,4,1,0.1
3,14,B3C14,8,2,4,1,0.8
3,19,B3C19,3,0,4,0,0.3
